absurdity	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	
abundance	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	
abundantly	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
abus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	4	
abuse	1	1	2	3	2	6	1	2	1	1	1	3	1	7	2	4	1	9	
abused	3	3	1	1	8	8	2	1	2	1	2	3	1	1	1	2	2	1	
abuser	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
abuses	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	
accent	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	
accents	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	2	
accept	1	2	1	1	1	1	1	5	2	2	6	1	3	2	1	1	2	2	
acceptance	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
accepted	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	
accepts	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	
access	1	1	2	1	1	2	2	1	1	1	1	3	1	2	1	1	2	1	
accession	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
accident	1	1	3	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	
accidental	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
accidentally	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	
accidents	2	1	2	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	
accommodations	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	
accompanied	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	
accompany	1	1	1	1	1	1	1	1	3	1	5	1	1	3	2	1	1	1	
accomplish	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	
according	1	1	3	4	2	1	2	1	1	2	1	2	3	1	1	1	5	5	
accordingly	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	
accost	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	
account	1	5	2	1	1	2	3	3	2	2	2	2	3	1	4	1	2	2	
accounted	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	
accursed	1	1	1	1	1	1	1	4	7	1	1	1	1	1	1	2	1	1	
accurst	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	
accusations	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
accuse	2	3	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	
accused	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	
accuser	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	
accuses	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	
ache	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	
aches	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	3	
achieve	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	
achieved	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
achievements	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
acknowledge	1	1	1	1	3	1	2	2	1	1	1	1	3	1	1	1	1	2	
acknowledged	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	
aconitum	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
acopus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
acquaint	1	1	1	1	3	1	2	1	2	1	1	1	1	1	2	1	1	1	
acquaintance	1	1	2	1	2	3	2	1	1	3	6	2	1	2	3	1	4	1	
acquainted	1	1	1	2	1	2	1	2	1	2	1	2	2	1	2	3	1	4	
acquire	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
acre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	
acres	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	
across	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
act	8	10	17	8	10	17	8	7	6	2	2	7	1	10	3	13	3	7	
acted	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	
acting	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	2	1	1	
action	3	13	10	3	3	8	2	1	3	1	3	5	2	5	2	6	4	2	
actions	1	2	2	1	1	2	1	1	1	1	1	6	3	4	2	3	2	3	
